"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Survey on Intent-Based Networking","A. Leivadeas; M. Falkner","Department of Software and Information Technology Engineering, École de technologie Supérieure, University of Quebec, Montreal, Canada; Cisco’s SP Sales CTO Group, Cisco Systems Inc., Ottawa, Canada",IEEE Communications Surveys & Tutorials,"23 Feb 2023","2023","25","1","625","655","Current and future network services and applications are expected to revolutionize our society and lifestyle. At the same time, the abundant possibilities that new network technologies offer to end users, network operators and administrators have created a cumbersome network configuration process to accommodate all different stakeholders and applications. Thus, lately, there is a need to simplify the management and configuration of the network, through possibly an autonomic and automatic way. Intent Based Networking (IBN) is such a paradigm that envisions flexible, agile, and simplified network configuration with minimal external intervention. This paper provides a detailed survey of how the IBN concept works and what are the main components to guarantee a fully autonomous IBN system (IBNS). Particular emphasis is given on the intent expression, intent translation, intent resolution, intent activation and intent assurance components, which form the closed loop automation system of an IBNS. The survey concludes with identifying open challenges and future directions of the problem at hand.","1553-877X","","10.1109/COMST.2022.3215919","Cisco University Research Program Fund of Silicon Valley Community Foundation(grant numbers:2021-234759 (3696)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9925251","Intent based networking;network policies;network assurance;network automation","Automation;Behavioral sciences;Tutorials;Wide area networks;Standardization;Software;Servers","","57","","143","IEEE","20 Oct 2022","","","IEEE","IEEE Journals"
"An Ontology-Based Information Extraction System for bridging the configuration gap in hybrid SDN environments","A. Martinez; M. Yannuzzi; J. E. L. de Vergara; R. Serral-Gracià; W. Ramírez","Networking and Information Technology Lab (NetIT Lab), Technical University of Catalonia (UPC), Spain; Networking and Information Technology Lab (NetIT Lab), Technical University of Catalonia (UPC), Spain; Department of Electronics and Communications Technologies, Autonomous University of Madrid (UAM), Spain; Networking and Information Technology Lab (NetIT Lab), Technical University of Catalonia (UPC), Spain; Advanced Network Architectures Lab (CRAAX), Technical University of Catalonia (UPC), Spain",2015 IFIP/IEEE International Symposium on Integrated Network Management (IM),"2 Jul 2015","2015","","","441","449","Hybrid Software-Defined Networks (SDNs) are growing at a remarkable speed, so network administrators need to deal with the configuration of a plethora of devices including OpenFlow elements, traditional equipment, and nodes supporting both OpenFlow and traditional features. The OpenFlow Management and Configuration Protocol (OF-CONFIG) is positioned as a solid candidate for the remote configuration of OpenFlow devices, but the fact that OF-CONFIG relies on NETCONF for its transport constrains its potential considerably. Indeed, the lack of comprehensive and standardized data models has hindered the utilization of NETCONF itself in traditional networks, and will likely confine OF-CONFIG to an elementary set of configurations until the expected data models arrive. In this paper, we present a semantic-based approach that eases and automates the configuration of network devices while complementing the capabilities of OF-CONFIG and NETCONF. Our main contributions can be summarized as follows. First, we have formalized the semantics of the switch/router configuration domain using the Web Ontology Language (OWL). Second, we have developed an Ontology-Based Information Extraction (OBIE) system from the Command-Line Interface (CLI) of network devices. Third, we have defined a learning algorithm that enables automated interpretation of CLIs' configuration capabilities in heterogeneous (multi-vendor) network scenarios. The potential of our approach is demonstrated through experiments carried out on different network elements.","1573-0077","978-1-4799-8241-7","10.1109/INM.2015.7140321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7140321","","Semantics;Ontologies;Switches;Protocols;OWL;Information retrieval;Data models","","10","","25","IEEE","2 Jul 2015","","","IEEE","IEEE Conferences"
"Path-Link Graph Neural Network for IP Network Performance Prediction","Y. Kong; D. Petrov; V. Räisänen; A. Ilin","Aalto University, Espoo, Finland; Nokia Bell Labs, Espoo, Finland; Nokia Bell Labs, Espoo, Finland; Aalto University, Espoo, Finland",2021 IFIP/IEEE International Symposium on Integrated Network Management (IM),"30 Jun 2021","2021","","","170","177","Dynamic resource provisioning and quality assurance for the plethora of end-to-end slices running over 5G and B5G networks require advanced modeling capabilities. Graph Neural Networks (GNN) have already proven their efficiency for network performance prediction. GNN architecture matches well the structures usually met in communications networks. In this paper, the focus is on the IP transport network as one of the end-to-end 5G architecture domains. The recently published RouteNet GNN is taken as a reference and starting point for our study. RouteNet performance is verified by a new implementation in the PyTorch ML library. Next, an alternative Path-Link neural network (PLNet) architecture is proposed and evaluated. After hyper-parameter tuning for both models, the results show that PLNet and RouteNet achieve a similar accuracy level. The advantage of PLNet is in parallel architecture. It is demonstrated that its inference speed is not sensitive to the length of the network's paths.","1573-0077","978-3-903176-32-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9464050","","Training;5G mobile communication;Network topology;Scalability;Reinforcement learning;Predictive models;Graph neural networks","","3","","31","","30 Jun 2021","","","IEEE","IEEE Conferences"
"Defensive configuration with game theory","S. Becker; R. State; T. Engel","LORIA INRIA-Lorraine, Villers-les-Nancy, France; LORIA INRIA-Lorraine, Villers-les-Nancy, France; University of Luxembourg-FSTC, Luxembourg",2009 IFIP/IEEE International Symposium on Integrated Network Management,"4 Aug 2009","2009","","","453","459","This paper proposes a new model, based on mainstream game theory for the optimal configuration of services. We consider the case of reliable realtime P2P communications and show how the configuration of security mechanisms can be configured using game theoretical concepts, in which the defendant is played by the management plane having to face adversaries which play the attacker role. Our main contribution lies in proposing a risk assessment framework and deriving optimal strategies - in terms of Nash equilibrium - for both the attacker and the defendant. We consider the specific service of communications in autonomic networks and we show how the optimal configuration can be determined within the proposed framework.","1573-0077","978-1-4244-3486-2","10.1109/INM.2009.5188848","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5188848","","Game theory;Telecommunication network reliability;Protocols;Risk management;Resilience;Computer architecture;Reliability theory;Security;Nash equilibrium;Real time systems","","","","13","IEEE","4 Aug 2009","","","IEEE","IEEE Conferences"
"Proactive Intent Policy Activation: An ML-Assisted Resource Forecasting Approach","T. A. Khan; W. Akbar; A. Muhammad; W. -C. Song","Dept. of Computer Engineering, Jeju National University, Jeju, South Korea; Dept. of Computer Engineering, Jeju National University, Jeju, South Korea; Dept. of Computer Engineering, Jeju National University, Jeju, South Korea; Dept. of Computer Engineering, Jeju National University, Jeju, South Korea",2022 23rd Asia-Pacific Network Operations and Management Symposium (APNOMS),"28 Oct 2022","2022","","","1","6","Due to the mega-scale of next-generation networks, dynamic network policy management and assessment is a continuous struggle for network operators. As a result, networks have evolved towards automated Softwarized intent-based policy platforms. IBN (Intent-based Networking) administers high-level interpretation of intents and translates them as policies to the lower-level infrastructures. As a Softwarized platform, it defines an SSOT (Single Source of Truth) where every high-level intention has well-defined policy action at every stage of orchestration from top to bottom. However, due to the dynamic nature of the network, the static quantitative measures may result in excessive reservation or under-allocation of network resources. As network service orchestration is performed for the future, deciding on service parameters per resource availability is crucial. Hence, this work utilizes machine-learning-based resource forecasting to determine quantitative measures for intent activation proactively. This work empowers IBN policy activation through LSTM (Long Short-Term Memory) based compute resource forecasting and RouteNet-driven transport network path link utilization forecasting. The goal of IBN is to ensure service level agreement, as there are two primary service activation rules, GBR and Non-GBR (Guaranteed Bit Rate); hence using forecasting, the proposed model ensures the service agreement accomplishment proactively.","2576-8565","978-4-885-52339-7","10.23919/APNOMS56106.2022.9919934","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9919934","IBN;Network Automation;AI-driven Networks;RouteNet;LSTM","Semantics;Memory management;Predictive models;Mathematical models;Forecasting;Standards;Next generation networking","","","","36","","28 Oct 2022","","","IEEE","IEEE Conferences"
"5G and software network paradigm","A. Tudzarov; S. Gelev","Faculty of Electrical Engineering, Goce Delcev University-Stip, R. Macedonia; Faculty of Electrical Engineering, Goce Delcev University-Stip, R. Macedonia",2018 23rd International Scientific-Professional Conference on Information Technology (IT),"30 Apr 2018","2018","","","1","5","This paper presents a view on the new software networks paradigm for future 5G networks that will help to achieve one of the most important requirements of the NGN like: sustainability, industry compatibility and usability. NG Network should be scalable, self-evolving and capable to address any current and future user needs. Building of closed and strict standards for networks ensures vendor compatibility and interconnectivity on one side but on other side reduces capability for fast evolution and adaptability for user needs. World economy is constantly accelerating and introduces great pressure on telecommunication industry to provide the required capabilities that will satisfy their requirements. This situation results in constant telecommunication struggle to introduce new network capabilities and features in very short time. It is time to start using all the Telecom and IT industry knowledge that we have to help to improve the network evolution. In that manner rebuilding the network from scratch by decomposition of network to building blocks and start building new network software based function and forms of network with strong self-awareness that can be interconnected on all different levels (not only vertical and horizontal but also sideways and diagonal). One way to do this is to software define the complete network scope and design a software adjusted network building blocks that can co-work with each other and can be interconnected on all levels. Two most promising technologies to introduce software based network organization in 5G are SDN and NFV technologies and in that sense their integration and cooperation in building the 5G network is crucial. There are several projects that are viewing in to this cooperation: 5GEx, 5G-Crosshaul, 5G-Xhaul, CHARISMA, COHERENT, SELFNET, SESAME, SONATA, SUPERFLUIDITY, VIRTUWIND which focus is in direction to enable most beneficial integration in joint software network organization of 5G architecture.","","978-1-5386-3620-6","10.1109/SPIT.2018.8350851","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8350851","NGN;5G;SDN;NFV;SDN Controller;SDN Network;Orchestration;Softwerization;Machine Learning","5G mobile communication;Software;Computer architecture;Network slicing;Industries;Hardware","","1","","10","IEEE","30 Apr 2018","","","IEEE","IEEE Conferences"
"Infrastructure-as-Code in Open-Networking: Git, Ansible, and Cumulus-Linux Case Study","G. Salazar-Chacón; D. M. Parra","Departamento de Ciencias de la Computación, Universidad de las Fuerzas Armadas - ESPE, Sangolquí, Ecuador; Departamento de Ciencias de la Computación, Universidad de las Fuerzas Armadas - ESPE, Sangolquí, Ecuador",2023 IEEE 13th Annual Computing and Communication Workshop and Conference (CCWC),"18 Apr 2023","2023","","","1126","1131","One of the necessities for modern connectivity infrastructures is decreasing devices setup-times and giving configuration visibility to troubleshoot complex scenarios more easily. This proof-of-concept and case study scenario demonstrates programmability in Open-Networking through an emulation of Cumulus Linux as an Open NOS (Network Operating System) with Ansible acting as a NAS (Network Automation Server), and Git as a VCS (Version Control System) for networking scripts, giving a global view of the technological evolution in data networks, focusing on the importance of IaaC (Infrastructures-as-a-Code) and NetDevOps.","","979-8-3503-3286-5","10.1109/CCWC57344.2023.10099084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099084","Open-Networking;Network Automation Server;Cumulus-Linux;Ansible;VXLAN;Git","Automation;Linux;Emulation;Pipelines;Process control;Tunneling;Servers","","1","","15","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
"Induction and deduction for autonomous networks","Ying-Dar Lin; M. Gerla","Department of Computer and Information Science, National Chiao Tung University, Taiwan; Department of Computer Science, University of California, Los Angeles, CA, USA",IEEE Journal on Selected Areas in Communications,"6 Aug 2002","1993","11","9","1415","1425","The key issues in network management are the representation and sharing of management information and the automatic management mechanisms based on the underlying information infrastructure. The authors propose a framework, which operates on the standard management information base (MIB) and common management information protocol (CMIP), for a network management system with learning and inference as its management engines. In addition to the general domain knowledge, patterns related to the managed network are learned to enhance the understanding of the network and refine the knowledge base. Facts in object-oriented databases or queries from management applications trigger the inference process on logical rules which are either prespecified knowledge or learned network patterns. Forward inference drives prediction and control, while backward inference directs diagnosis and supports view abstraction. A case study on ATM network topology tuning is presented.<>","1558-0008","","10.1109/49.257933","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=257933","","Telecommunication traffic;Information management;Knowledge management;Object oriented databases;Traffic control;Object oriented modeling;Computer network management;Access protocols;Engines;Network topology","","2","12","29","IEEE","6 Aug 2002","","","IEEE","IEEE Journals"
"GitOps and Kubernetes Operator-based Network Function Configuration","Á. Leiter; A. Hegyi; I. Kispál; P. Böõsy; N. Galambosi; G. Z. Tar","Nokia Bell Labs Budapest, Hungary; Nokia Bell Labs Budapest, Hungary; Nokia Bell Labs Budapest, Hungary; Nokia Bell Labs Budapest, Hungary; Nokia Bell Labs Budapest, Hungary; Nokia Bell Labs Budapest, Hungary",NOMS 2023-2023 IEEE/IFIP Network Operations and Management Symposium,"21 Jun 2023","2023","","","1","5","Cloud-native approach has touched network management and automation too. Kubernetes as de facto standard for running containerized network functions provide ways for network operation too. With the help of Kubernetes Operators (Operator Pattern) more and more manual network management work can be automatized which fits into the cloud-native ecosystem. In this paper, we present how Kubernetes Operators can be used for Netconf-based configuration management while utilizing GitOps principles. We provide numerical results to show the power of this type of network management.","2374-9709","978-1-6654-7716-1","10.1109/NOMS56928.2023.10154212","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10154212","Kubernetes Operators;Netconf;GitOps;Network Automation","Automation;Ecosystems;Configuration management;Communications technology;Standards","","2","","19","IEEE","21 Jun 2023","","","IEEE","IEEE Conferences"
"Toward Integrating Intelligence and Programmability in Open Radio Access Networks: A Comprehensive Survey","A. Arnaz; J. Lipman; M. Abolhasan; M. Hiltunen","School of Electrical and Data Engineering, University of Technology Sydney, Ultimo, NSW, Australia; School of Electrical and Data Engineering, University of Technology Sydney, Ultimo, NSW, Australia; School of Electrical and Data Engineering, University of Technology Sydney, Ultimo, NSW, Australia; AT&T Labs Research, Bedminster, NJ, USA",IEEE Access,"30 Jun 2022","2022","10","","67747","67770","Open RAN is an emerging vision and an advancement of the Radio Access Network (RAN). Its purpose is to implement a vendor and network-generation agnostic RAN, provide networking solutions across all service requests, and implement artificial intelligence solutions in different stages of an end-to-end communication path. The 5th Generation (5G) and beyond the 5th Generation (B5G) of networking introduce and support new use cases, such as tactile internet and autonomous driving. The complexity and innovative nature of these use cases require continuous innovation at a high pace in the RAN. The traditional approach of building end-to-end RAN solutions by only one vendor hampers the speed of innovation—furthermore, the lack of a standard approach to implementing artificial intelligence complicates the compatibility of products with the RAN ecosystem. O-RAN Alliance, a community of industry and academic experts in RAN, works on writing Open RAN specifications on top of the 3rd Generation Partnership Project (3GPP) standards. Founded on these specifications, the aim of this paper is to introduce open research topics in Open RAN that overlap the interests of both AI and telecommunication researchers. The paper provides an overview of the architecture and components of Open RAN, then explores AI use cases in Open RAN. Also, this survey includes some plausible AI deployment scenarios that the specifications have not covered. Open RAN in future cities creates opportunities for various use cases across different sectors, including engineering, operations, and research that this paper addresses.","2169-3536","","10.1109/ACCESS.2022.3183989","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9798822","5G;B5G;artificial intelligence;intelligent systems;machine learning;open RAN;radio access networks","Computer architecture;Artificial intelligence;5G mobile communication;Radio access networks;Communications technology;3G mobile communication;Machine learning","","27","","98","CCBYNCND","17 Jun 2022","","","IEEE","IEEE Journals"
"An Autonomous Service-Oriented Orchestration Framework for Software Defined Mobile Networks","X. -T. Dang; M. A. Khan; F. Sivrikaya","DAI-Labor, Technische Universitaet, Berlin, Germany; DAI-Labor, Technische Universitaet, Berlin, Germany; GT-ARC gGmbH, Berlin, Germany","2019 22nd Conference on Innovation in Clouds, Internet and Networks and Workshops (ICIN)","11 Apr 2019","2019","","","277","284","5G network evolution results in new challenges for mobile network management and orchestration. The emerging SDN and NFV technologies are transforming the network infrastructure and network service components into compositions of programmable virtualized functions. The resulting flexibility allows the network to be conceived as services, which are aware of vertical application QoS/QoE requirements. While most recent works focus on flexible network control and improved resource utilization in emerging mobile network architectures, an end-to-end orchestration of both network infrastructure and vertical application is not adequately explored. In this work, we identify the challenges and propose a service oriented framework for application-aware end-to-end mobile network orchestration. We also present a prototypical realization of the proposed framework, which is an orchestration platform for virtualized mobile networks. To address the challenges of multi-stakeholder and multi-layer mobile network architecture, we employ event calculus for modeling the network layers, and abductive reasoning approach for autonomous policy translation and service provisioning in a 2-phase algorithm. The framework is validated with a 5G enhanced mobility management application as a service on our software defined mobile network testbed. Initial performance measurements are analyzed for practical insights into the proposed framework, as well as suggestions for its future development.","2472-8144","978-1-5386-8336-1","10.1109/ICIN.2019.8685919","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8685919","Autonomous Network Management;Service Oriented Networking;Network as a Service;Network Service Model","","","2","","22","IEEE","11 Apr 2019","","","IEEE","IEEE Conferences"
"An Architecture for Autonomic Networks","P. Djukic","Office of the CTO Ciena Canada, Ottawa, Canada",2022 IEEE Future Networks World Forum (FNWF),"8 Mar 2023","2022","","","117","124","We elucidate our approach to top-down design of Application Programming Interfaces (APIs) for AI-enabled autonomic network slices. We start with the notion that an API design follows from the underlying software and hardware network architecture and the function and role of each architectural block. We then proceed to describe an adaptive and fully autonomic software architecture for hybrid (software and hardware) network slices, which has recently been a topic of interest for 6G networks. The architecture uses several software design and architectural patterns, which show how the architectural blocks behave and interact with each other. The knowledge of behaviour leads to required APIs. The APIs are further specified in the pattern definitions. We provide two examples of how the architecture is used to achieve network intent with self-adapting network slices.","2770-7679","978-1-6654-6250-1","10.1109/FNWF55208.2022.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10056694","Network Intelligence;Orchestration;Assurance;Network Intent;6G","6G mobile communication;Software design;Adaptive systems;Software architecture;Computer architecture;Network architecture;Software","","","","25","IEEE","8 Mar 2023","","","IEEE","IEEE Conferences"
"A Survey on XAI for 5G and Beyond Security: Technical Aspects, Challenges and Research Directions","T. Senevirathna; V. H. La; S. Marchal; B. Siniarski; M. Liyanage; S. Wang","School of Computer Science, University College Dublin, Ireland; Montimage, France; VTT Technical Research Centre of Finland, Finkand; School of Computer Science, University College Dublin, Ireland; School of Computer Science, University College Dublin, Ireland; School of Computer Science, University College Dublin, Ireland",IEEE Communications Surveys & Tutorials,"","2024","PP","99","1","1","With the advent of 5G commercialization, the need for more reliable, faster, and intelligent telecommunication systems is envisaged for the next generation beyond 5G (B5G) radio access technologies. Artificial Intelligence (AI) and Machine Learning (ML) are immensely popular in service layer applications and have been proposed as essential enablers in many aspects of 5G and beyond networks, from IoT devices and edge computing to cloud-based infrastructures. However, existing 5G ML-based security surveys tend to emphasize AI/ML model performance and accuracy more than the models’ accountability and trustworthiness. In contrast, this paper explores the potential of Explainable AI (XAI) methods, which would allow stakeholders in 5G and beyond to inspect intelligent black-box systems used to secure next-generation networks. The goal of using XAI in the security domain of 5G and beyond is to allow the decision-making processes of ML-based security systems to be transparent and comprehensible to 5G and beyond stakeholders, making the systems accountable for automated actions. In every facet of the forthcoming B5G era, including B5G technologies such as ORAN, zero-touch network management, and end-to-end slicing, this survey emphasizes the role of XAI in them that the general users would ultimately enjoy. Furthermore, we presented the lessons from recent efforts and future research directions on top of the currently conducted projects involving XAI.","1553-877X","","10.1109/COMST.2024.3437248","Science Foundation Ireland under CONNECT phase 2(grant numbers:13/RC/2077_P2); European Union SPATIAL Project(grant numbers:101021808); Academy of Finland in 6Genesis(grant numbers:318927); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10620685","B5G;5G;XAI;AI security;cyber-security;6G mobile communication;Accountability;Trustworthy AI;Explainable security","Artificial intelligence;5G mobile communication;Explainable AI;Security;Surveys;6G mobile communication;Wireless sensor networks","","1","","","IEEE","2 Aug 2024","","","IEEE","IEEE Early Access Articles"
"Blockchain and Intent-Based Networking: A Novel Approach to Secure and Accurate Network Policy Implementation","J. J. Diaz Rivera; M. Afaq; W. -C. Song",Department of Electronic Engineering; Department of Computer Engineering; Department of Computer Engineering,2023 24st Asia-Pacific Network Operations and Management Symposium (APNOMS),"25 Sep 2023","2023","","","77","82","In response to the swift evolution of network technologies, traditional security measures centered on perimeter defenses have become inadequate for the needs of present-day distributed systems. Contemporary paradigms, such as Zero Trust Networking (ZTN) and Software Defined Perimeters (SDP), enhance network security by implementing a ""never trust, always verify"" model. Establishing trust is a crucial part of security policies that govern access to network resources. Automated policy management, continuous monitoring, and data analytics are required to ensure these policies’ reliability. Intent-Based Networking (IBN) can meet these requirements by translating high-level security policies into network configurations, thus bolstering network management and policy enforcement. Integrating IBN with blockchain technology creates a single source of truth (SSoT) for intent translation, providing an immutable, transaction-based ledger to verify each interaction. Our proposed design employs the open-source Hyperledger Besu for a permissioned blockchain implementation, alongside a secure network overlay from NetFoundry (OpenZiti). An IBN system is integrated as a management layer for secure policy creation. These policies, in the form of intents, are stored in the blockchain. Additionally, an event listener mechanism is designed to automatically translate the intents from the blockchain into network overlay configurations. Furthermore, a synchronizer ensures that the state of the network overlay remains aligned with the policy configurations defined by the intents in the blockchain. The overall research aims to achieve a Zero Touch and Trust (ZT&T) network system.","2576-8565","978-89-950043-9-5","","National Research Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10258188","IBN;Zero Trust Network;Software Defined Perimeter;Blockchain;Security Policies","Scalability;Network security;Software;Robustness;Real-time systems;Blockchains;Zero Trust","","1","","17","","25 Sep 2023","","","IEEE","IEEE Conferences"
"Empowering 6G Communication Systems With Digital Twin Technology: A Comprehensive Survey","N. P. Kuruvatti; M. A. Habibi; S. Partani; B. Han; A. Fellan; H. D. Schotten","Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany; Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany; Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany; Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany; Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany; Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany",IEEE Access,"28 Oct 2022","2022","10","","112158","112186","The global roll-out phase of the fifth-generation of mobile communication systems is currently underway. The industry and academia have already begun research on potential sixth-generation (6G) communication systems. The 6G communication system is anticipated to provide network connectivity for an extensive range of use cases in a variety of emerging vertical industries. Consequently, a new set of challenging requirements and more stringent key performance indicators have to be considered, a novel architecture has to be designed, and unique enabling technologies shall be developed in order to fulfill the technical, regulatory, and business demands of the communication service customers. These requirements place enormous pressure on the players in the telecommunications industry, including network operators, service providers, hardware suppliers, standards development organizations (SDOs), and regulatory authorities aimed at developing, standardizing, and regulating an energy-efficient, cost-effective, performing, and sustainable 6G communication ecosystem. One area of focus for 6G communication systems is the digital twin (DT) technology, which is a well-defined set of tools designed to create virtual representations of physical objects that serve as their digital counterparts. This article explores the applicability of the DT technology in the context of 6G communication systems by viewing it as a promising tool to make research, development, operation, and optimization of the next-generation communication systems highly efficient. The major contribution of this article is fivefold. Firstly, we provide critical analysis of the state-of-the-art literature in the field of DT technology in order to capture its essence in several application areas since its inception. Secondly, we conduct a comprehensive survey of the research concerning the deployment of DT technology in 6G communication systems. Thirdly, we discuss potential use cases and key areas of applications (along with detailed examples) of 6G communication systems that can benefit from DT technology. Fourthly, we present an overview of the activities of several SDOs that are active in the field of DT technology. Finally, we identify several open research challenges and future directions that need to be addressed before the end-to-end deployment of DT technology in 6G communication systems.","2169-3536","","10.1109/ACCESS.2022.3215493","European Union’s Horizon 2020 Research and Innovation Program through the Project Hexa-X(grant numbers:101015956); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9923927","5G;beyond 5G;6G;automation;communication systems;digital twinning;digital twin network;digital twin technology;intelligence;physical twin","6G mobile communication;Communication systems;Industries;5G mobile communication;Digital twins;Mobile communication;Communication networks","","41","","130","CCBY","19 Oct 2022","","","IEEE","IEEE Journals"
"A Survey on Observability of Distributed Edge & Container-Based Microservices","M. Usman; S. Ferlin; A. Brunstrom; J. Taheri","Department of Computer Science, Karlstad University, Karlstad, Sweden; Department of Computer Science, Karlstad University, Karlstad, Sweden; Department of Computer Science, Karlstad University, Karlstad, Sweden; Department of Computer Science, Karlstad University, Karlstad, Sweden",IEEE Access,"24 Aug 2022","2022","10","","86904","86919","Edge computing is proposed as a technical enabler for meeting emerging network technologies (such as 5G and Industrial Internet of Things), stringent application requirements and key performance indicators (KPIs). It aims to alleviate the problems associated with centralized cloud computing systems by placing computational resources to the network’s edge, closer to the users. However, the complexity of distributed edge infrastructures grows when hosting containerized workloads as microservices, resulting in hard to detect and troubleshoot outages on critical use cases such as industrial automation processes. Observability aims to support operators in managing and operating complex distributed infrastructures and microservices architectures by instrumenting end-to-end runtime performance. To the best of our knowledge, no survey article has been recently proposed for distributed edge and containerized microservices observability. Thus, this article surveys and classifies state-of-the-art solutions from various communities. Besides surveying state-of-the-art, this article also discusses the observability concept, requirements, and design considerations. Finally, we discuss open research issues as well as future research directions that will inspire additional research in this area.","2169-3536","","10.1109/ACCESS.2022.3193102","Knowledge Foundation of Sweden (KKS) through the Synergy Project AIDA—A Holistic AI-Driven Networking and Processing Framework for Industrial IoT(grant numbers:Rek:20200067); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9837035","Automation;cloud-native;containers;DevOps;edge;Industrial Internet of Things (IIoT);microservices;monitoring;observability;operation;software-defined infrastructure;visibility","Monitoring;Observability;Cloud computing;Microservice architectures;Computer architecture;Industrial Internet of Things;Image edge detection","","33","","106","CCBY","21 Jul 2022","","","IEEE","IEEE Journals"
"Empowering the 6G Cellular Architecture With Open RAN","M. Polese; M. Dohler; F. Dressler; M. Erol-Kantarci; R. Jana; R. Knopp; T. Melodia","Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Advanced Technology Group, Ericsson Inc., Santa Clara, CA, USA; School of Electrical Engineering and Computer Science, TU Berlin, Berlin, Germany; School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, Canada; Google, New York City, NY, USA; EURECOM, Sophia Antipolis, Biot, France; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA",IEEE Journal on Selected Areas in Communications,"16 Jan 2024","2024","42","2","245","262","Innovation and standardization in 5G have brought advancements to every facet of the cellular architecture. This ranges from the introduction of new frequency bands and signaling technologies for the radio access network (RAN), to a core network underpinned by micro-services and network function virtualization (NFV). However, like any emerging technology, the pace of real-world deployments does not instantly match the pace of innovation. To address this discrepancy, one of the key aspects under continuous development is the RAN with the aim of making it more open, adaptive, functional, and easy to manage. In this paper, we highlight the transformative potential of embracing novel cellular architectures by transitioning from conventional systems to the progressive principles of Open RAN. This promises to make 6G networks more agile, cost-effective, energy-efficient, and resilient. It opens up a plethora of novel use cases, ranging from ubiquitous support for autonomous devices to cost-effective expansions in regions previously underserved. The principles of Open RAN encompass: (i) a disaggregated architecture with modular and standardized interfaces; (ii) cloudification, programmability and orchestration; and (iii) AI-enabled data-centric closed-loop control and automation. We first discuss the transformative role Open RAN principles have played in the 5G era. Then, we adopt a system-level approach and describe how these Open RAN principles will support 6G RAN and architecture innovation. We qualitatively discuss potential performance gains that Open RAN principles yield for specific 6G use cases. For each principle, we outline the steps that research, development and standardization communities ought to take to make Open RAN principles central to next-generation cellular network designs.","1558-0008","","10.1109/JSAC.2023.3334610","U.S. National Science Foundation(grant numbers:CNS-2117814); Federal Ministry of Education and Research (BMBF), Germany, within the 6G Platform(grant numbers:16KISK050); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10329947","Open RAN;6G;architecture;end-to-end","5G mobile communication;Cellular networks;6G mobile communication;Wireless communication;Technological innovation;3GPP;Quality of service","","14","","153","IEEE","28 Nov 2023","","","IEEE","IEEE Journals"
